Question,Segment Type,Segment Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,University of Memphis,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Memphis,None,1,1.0
What social platform has influenced your online shopping most?,University,Auburn University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Auburn University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Auburn University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Auburn University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Auburn University,None,4,1.0
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Facebook,1,0.143
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Instagram,2,0.286
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Twitter,1,0.143
What social platform has influenced your online shopping most?,University,Randolph-Macon College,None,3,0.429
What social platform has influenced your online shopping most?,University,Wisconsin HS,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Wisconsin HS,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Wisconsin HS,Snapchat,1,1.0
What social platform has influenced your online shopping most?,University,Wisconsin HS,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wisconsin HS,None,0,0.0
What social platform has influenced your online shopping most?,University,Penn State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Penn State University,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,Penn State University,Snapchat,1,0.333
What social platform has influenced your online shopping most?,University,Penn State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Penn State University,None,1,0.333
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,None,3,0.75
What social platform has influenced your online shopping most?,University,Rutgers University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Rutgers University,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Oregon,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,University of Oregon,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Oregon,Snapchat,2,0.5
What social platform has influenced your online shopping most?,University,University of Oregon,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Oregon,None,1,0.25
What social platform has influenced your online shopping most?,University,University of Toronto,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Toronto,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Toronto,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Toronto,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Toronto,None,1,0.333
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,State University of New York Geneso,None,1,1.0
What social platform has influenced your online shopping most?,University,Carthage College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Carthage College,None,1,1.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of South Carolina,None,4,1.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wesleyan University,None,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Memorial University of Newfoundland,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Kansas,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Kansas,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,University of Kansas,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Redlands,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Redlands,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Arkansas,Facebook,1,0.053
What social platform has influenced your online shopping most?,University,University of Arkansas,Instagram,10,0.526
What social platform has influenced your online shopping most?,University,University of Arkansas,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Arkansas,Twitter,3,0.158
What social platform has influenced your online shopping most?,University,University of Arkansas,None,5,0.263
What social platform has influenced your online shopping most?,University,Richland High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Richland High School,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Richland High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Richland High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Richland High School,None,1,1.0
What social platform has influenced your online shopping most?,University,Wake Forest University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Wake Forest University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Wake Forest University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Wake Forest University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Wake Forest University,None,0,0.0
What social platform has influenced your online shopping most?,University,Iowa State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Iowa State University,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,Iowa State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Iowa State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Iowa State University,None,2,0.667
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Florida Gulf Coast University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Missouri,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Central Missouri,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Missouri,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Missouri,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Missouri,None,2,0.667
What social platform has influenced your online shopping most?,University,California State University Long Beach,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,California State University Long Beach,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,California State University Long Beach,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,California State University Long Beach,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,California State University Long Beach,None,0,0.0
What social platform has influenced your online shopping most?,University,Chaparral High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Chaparral High School,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Chaparral High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Chaparral High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Chaparral High School,None,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Colorado Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colorado Academy,None,1,0.5
What social platform has influenced your online shopping most?,University,United States Naval Academy,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,United States Naval Academy,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,None,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Facebook,1,1.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Lock Haven University,None,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kalamazoo College,None,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,Facebook,2,0.222
What social platform has influenced your online shopping most?,University,Stanford University,Instagram,2,0.222
What social platform has influenced your online shopping most?,University,Stanford University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Stanford University,None,5,0.556
What social platform has influenced your online shopping most?,University,Vanderbilt University,Facebook,15,0.375
What social platform has influenced your online shopping most?,University,Vanderbilt University,Instagram,11,0.275
What social platform has influenced your online shopping most?,University,Vanderbilt University,Snapchat,1,0.025
What social platform has influenced your online shopping most?,University,Vanderbilt University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Vanderbilt University,None,13,0.325
What social platform has influenced your online shopping most?,University,Chapman University,Facebook,2,0.2
What social platform has influenced your online shopping most?,University,Chapman University,Instagram,6,0.6
What social platform has influenced your online shopping most?,University,Chapman University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Chapman University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Chapman University,None,2,0.2
What social platform has influenced your online shopping most?,University,Missouri State University,Facebook,3,0.12
What social platform has influenced your online shopping most?,University,Missouri State University,Instagram,10,0.4
What social platform has influenced your online shopping most?,University,Missouri State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Missouri State University,Twitter,2,0.08
What social platform has influenced your online shopping most?,University,Missouri State University,None,10,0.4
What social platform has influenced your online shopping most?,University,Emory University,Facebook,15,0.319
What social platform has influenced your online shopping most?,University,Emory University,Instagram,14,0.298
What social platform has influenced your online shopping most?,University,Emory University,Snapchat,2,0.043
What social platform has influenced your online shopping most?,University,Emory University,Twitter,1,0.021
What social platform has influenced your online shopping most?,University,Emory University,None,15,0.319
What social platform has influenced your online shopping most?,University,University of Richmond,Facebook,3,0.6
What social platform has influenced your online shopping most?,University,University of Richmond,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Richmond,None,2,0.4
What social platform has influenced your online shopping most?,University,Medford High School,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Medford High School,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Medford High School,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Medford High School,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Medford High School,None,1,1.0
What social platform has influenced your online shopping most?,University,University of British Columbia,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of British Columbia,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of British Columbia,None,2,0.667
What social platform has influenced your online shopping most?,University,Colby College,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,Colby College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Colby College,None,0,0.0
What social platform has influenced your online shopping most?,University,Bates College,Facebook,8,0.17
What social platform has influenced your online shopping most?,University,Bates College,Instagram,18,0.383
What social platform has influenced your online shopping most?,University,Bates College,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Bates College,Twitter,4,0.085
What social platform has influenced your online shopping most?,University,Bates College,None,17,0.362
What social platform has influenced your online shopping most?,University,"Westport, CT",Facebook,1,1.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Instagram,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",Twitter,0,0.0
What social platform has influenced your online shopping most?,University,"Westport, CT",None,0,0.0
What social platform has influenced your online shopping most?,University,Whitman College,Facebook,5,0.227
What social platform has influenced your online shopping most?,University,Whitman College,Instagram,5,0.227
What social platform has influenced your online shopping most?,University,Whitman College,Snapchat,3,0.136
What social platform has influenced your online shopping most?,University,Whitman College,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Whitman College,None,9,0.409
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Instagram,1,0.5
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,None,1,0.5
What social platform has influenced your online shopping most?,University,University of Central Florida,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Central Florida,None,2,1.0
What social platform has influenced your online shopping most?,University,University of Montana ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana ,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Montana ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Montana ,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Nebraska,None,1,1.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,None,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,Facebook,4,0.4
What social platform has influenced your online shopping most?,University,Tufts University,Instagram,3,0.3
What social platform has influenced your online shopping most?,University,Tufts University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Tufts University,None,3,0.3
What social platform has influenced your online shopping most?,University,Texas Tech University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Texas Tech University,None,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Kansas State University,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Notre Dame,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Georgia,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,University of Georgia,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Georgia,None,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Ohio University,None,1,1.0
What social platform has influenced your online shopping most?,University,Washington State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,Instagram,2,1.0
What social platform has influenced your online shopping most?,University,Washington State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Washington State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Binghamtom University,None,1,1.0
What social platform has influenced your online shopping most?,University,George Washington University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,George Washington University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,George Washington University,None,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,Instagram,1,0.2
What social platform has influenced your online shopping most?,University,University of Alabama,Snapchat,1,0.2
What social platform has influenced your online shopping most?,University,University of Alabama,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Alabama,None,3,0.6
What social platform has influenced your online shopping most?,University,University of Florida,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Florida,Instagram,1,0.333
What social platform has influenced your online shopping most?,University,University of Florida,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,University of Florida,Twitter,1,0.333
What social platform has influenced your online shopping most?,University,University of Florida,None,1,0.333
What social platform has influenced your online shopping most?,University,The College of New Jersey,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,The College of New Jersey,None,1,1.0
What social platform has influenced your online shopping most?,University,Florida State University,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,Instagram,1,1.0
What social platform has influenced your online shopping most?,University,Florida State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Florida State University,None,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Santa Clara University,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Santa Clara University,None,2,0.667
What social platform has influenced your online shopping most?,University,Appalachian State University,Facebook,5,0.172
What social platform has influenced your online shopping most?,University,Appalachian State University,Instagram,9,0.31
What social platform has influenced your online shopping most?,University,Appalachian State University,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Appalachian State University,Twitter,3,0.103
What social platform has influenced your online shopping most?,University,Appalachian State University,None,12,0.414
What social platform has influenced your online shopping most?,University,Arbroath Academy,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,Twitter,1,1.0
What social platform has influenced your online shopping most?,University,Arbroath Academy,None,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Snapchat,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,Arkansas Tech University ,None,1,1.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Facebook,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Instagram,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,Snapchat,1,0.5
What social platform has influenced your online shopping most?,University,University of Rhode Island,Twitter,0,0.0
What social platform has influenced your online shopping most?,University,University of Rhode Island,None,1,0.5
What social platform has influenced your online shopping most?,University,Virginia Tech,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,Virginia Tech,Instagram,2,0.667
